Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2008,NBA,Eastern Conf Finals,May 20 - May 30 2008,,Boston Celtics (1),4,,Detroit Pistons (2),2
2008,NBA,Western Conf Finals,May 21 - May 29 2008,,Los Angeles Lakers (1),4,,San Antonio Spurs (3),1
2008,NBA,Finals,Jun 5 - Jun 17 2008,,Boston Celtics (1),4,,Los Angeles Lakers (1),2
2007,NBA,Eastern Conf First Round,Apr 21 - Apr 29 2007,,Chicago Bulls (5),4,,Miami Heat (4),0
2007,NBA,Eastern Conf First Round,Apr 22 - Apr 30 2007,,Cleveland Cavaliers (2),4,,Washington Wizards (7),0
2007,NBA,Eastern Conf First Round,Apr 21 - Apr 28 2007,,Detroit Pistons (1),4,,Orlando Magic (8),0
2007,NBA,Eastern Conf First Round,Apr 21 - May 4 2007,,New Jersey Nets (6),4,,Toronto Raptors (3),2
2007,NBA,Western Conf First Round,Apr 22 - May 3 2007,,Golden State Warriors (8),4,,Dallas Mavericks (1),2
2007,NBA,Western Conf First Round,Apr 22 - May 2 2007,,Phoenix Suns (2),4,,Los Angeles Lakers (7),1
2007,NBA,Western Conf First Round,Apr 22 - May 2 2007,,San Antonio Spurs (3),4,,Denver Nuggets (6),1
2007,NBA,Western Conf First Round,Apr 21 - May 5 2007,,Utah Jazz (4),4,,Houston Rockets (5),3
2007,NBA,Eastern Conf Semifinals,May 6 - May 18 2007,,Cleveland Cavaliers (2),4,,New Jersey Nets (6),2
2007,NBA,Eastern Conf Semifinals,May 5 - May 17 2007,,Detroit Pistons (1),4,,Chicago Bulls (5),2
2007,NBA,Western Conf Semifinals,May 6 - May 18 2007,,San Antonio Spurs (3),4,,Phoenix Suns (2),2
2007,NBA,Western Conf Semifinals,May 7 - May 15 2007,,Utah Jazz (4),4,,Golden State Warriors (8),1
2007,NBA,Eastern Conf Finals,May 21 - Jun 2 2007,,Cleveland Cavaliers (2),4,,Detroit Pistons (1),2
2007,NBA,Western Conf Finals,May 20 - May 30 2007,,San Antonio Spurs (3),4,,Utah Jazz (4),1
2007,NBA,Finals,Jun 7 - Jun 14 2007,,San Antonio Spurs (3),4,,Cleveland Cavaliers (2),0
2006,NBA,Eastern Conf First Round,Apr 22 - May 5 2006,,Cleveland Cavaliers (4),4,,Washington Wizards (5),2
2006,NBA,Eastern Conf First Round,Apr 23 - May 3 2006,,Detroit Pistons (1),4,,Milwaukee Bucks (8),1
2006,NBA,Eastern Conf First Round,Apr 22 - May 4 2006,,Miami Heat (2),4,,Chicago Bulls (7),2
2006,NBA,Eastern Conf First Round,Apr 23 - May 4 2006,,New Jersey Nets (3),4,,Indiana Pacers (6),2
2006,NBA,Western Conf First Round,Apr 23 - May 1 2006,,Dallas Mavericks (4),4,,Memphis Grizzlies (5),0
2006,NBA,Western Conf First Round,Apr 22 - May 1 2006,,Los Angeles Clippers (6),4,,Denver Nuggets (3),1
2006,NBA,Western Conf First Round,Apr 23 - May 6 2006,,Phoenix Suns (2),4,,Los Angeles Lakers (7),3
2006,NBA,Western Conf First Round,Apr 22 - May 5 2006,,San Antonio Spurs (1),4,,Sacramento Kings (8),2
2006,NBA,Eastern Conf Semifinals,May 7 - May 21 2006,,Detroit Pistons (1),4,,Cleveland Cavaliers (4),3
2006,NBA,Eastern Conf Semifinals,May 8 - May 16 2006,,Miami Heat (2),4,,New Jersey Nets (3),1
2006,NBA,Western Conf Semifinals,May 7 - May 22 2006,,Dallas Mavericks (4),4,,San Antonio Spurs (1),3
2006,NBA,Western Conf Semifinals,May 8 - May 22 2006,,Phoenix Suns (2),4,,Los Angeles Clippers (6),3
2006,NBA,Eastern Conf Finals,May 23 - Jun 2 2006,,Miami Heat (2),4,,Detroit Pistons (1),2
2006,NBA,Western Conf Finals,May 24 - Jun 3 2006,,Dallas Mavericks (4),4,,Phoenix Suns (2),2
2006,NBA,Finals,Jun 8 - Jun 20 2006,,Miami Heat (2),4,,Dallas Mavericks (4),2
2005,NBA,Eastern Conf First Round,Apr 23 - May 3 2005,,Detroit Pistons (2),4,,Philadelphia 76ers (7),1
2005,NBA,Eastern Conf First Round,Apr 23 - May 7 2005,,Indiana Pacers (6),4,,Boston Celtics (3),3
2005,NBA,Eastern Conf First Round,Apr 24 - May 1 2005,,Miami Heat (1),4,,New Jersey Nets (8),0
2005,NBA,Eastern Conf First Round,Apr 24 - May 6 2005,,Washington Wizards (5),4,,Chicago Bulls (4),2
2005,NBA,Western Conf First Round,Apr 23 - May 7 2005,,Dallas Mavericks (4),4,,Houston Rockets (5),3
2005,NBA,Western Conf First Round,Apr 24 - May 1 2005,,Phoenix Suns (1),4,,Memphis Grizzlies (8),0
2005,NBA,Western Conf First Round,Apr 24 - May 4 2005,,San Antonio Spurs (2),4,,Denver Nuggets (7),1
2005,NBA,Western Conf First Round,Apr 23 - May 3 2005,,Seattle SuperSonics (3),4,,Sacramento Kings (6),1
2005,NBA,Eastern Conf Semifinals,May 9 - May 19 2005,,Detroit Pistons (2),4,,Indiana Pacers (6),2
2005,NBA,Eastern Conf Semifinals,May 8 - May 14 2005,,Miami Heat (1),4,,Washington Wizards (5),0
2005,NBA,Western Conf Semifinals,May 9 - May 20 2005,,Phoenix Suns (1),4,,Dallas Mavericks (4),2
2005,NBA,Western Conf Semifinals,May 8 - May 19 2005,,San Antonio Spurs (2),4,,Seattle SuperSonics (3),2
2005,NBA,Eastern Conf Finals,May 23 - Jun 6 2005,,Detroit Pistons (2),4,,Miami Heat (1),3
2005,NBA,Western Conf Finals,May 22 - Jun 1 2005,,San Antonio Spurs (2),4,,Phoenix Suns (1),1
2005,NBA,Finals,Jun 9 - Jun 23 2005,,San Antonio Spurs (2),4,,Detroit Pistons (2),3
2004,NBA,Eastern Conf First Round,Apr 18 - Apr 29 2004,,Detroit Pistons (3),4,,Milwaukee Bucks (6),1
2004,NBA,Eastern Conf First Round,Apr 17 - Apr 25 2004,,Indiana Pacers (1),4,,Boston Celtics (8),0
2004,NBA,Eastern Conf First Round,Apr 18 - May 4 2004,,Miami Heat (4),4,,New Orleans Hornets (5),3
2004,NBA,Eastern Conf First Round,Apr 17 - Apr 25 2004,,New Jersey Nets (2),4,,New York Knicks (7),0
2004,NBA,Western Conf First Round,Apr 17 - Apr 28 2004,,Los Angeles Lakers (2),4,,Houston Rockets (7),1
2004,NBA,Western Conf First Round,Apr 18 - Apr 30 2004,,Minnesota Timberwolves (1),4,,Denver Nuggets (8),1
2004,NBA,Western Conf First Round,Apr 18 - Apr 29 2004,,Sacramento Kings (4),4,,Dallas Mavericks (5),1
2004,NBA,Western Conf First Round,Apr 17 - Apr 25 2004,,San Antonio Spurs (3),4,,Memphis Grizzlies (6),0
2004,NBA,Eastern Conf Semifinals,May 3 - May 20 2004,,Detroit Pistons (3),4,,New Jersey Nets (2),3
2004,NBA,Eastern Conf Semifinals,May 6 - May 18 2004,,Indiana Pacers (1),4,,Miami Heat (4),2
2004,NBA,Western Conf Semifinals,May 2 - May 15 2004,,Los Angeles Lakers (2),4,,San Antonio Spurs (3),2
2004,NBA,Western Conf Semifinals,May 4 - May 19 2004,,Minnesota Timberwolves (1),4,,Sacramento Kings (4),3
2004,NBA,Eastern Conf Finals,May 22 - Jun 1 2004,,Detroit Pistons (3),4,,Indiana Pacers (1),2
2004,NBA,Western Conf Finals,May 21 - May 31 2004,,Los Angeles Lakers (2),4,,Minnesota Timberwolves (1),2
2004,NBA,Finals,Jun 6 - Jun 15 2004,,Detroit Pistons (3),4,,Los Angeles Lakers (2),1
2003,NBA,Eastern Conf First Round,Apr 19 - May 1 2003,,Boston Celtics (6),4,,Indiana Pacers (3),2
2003,NBA,Eastern Conf First Round,Apr 20 - May 4 2003,,Detroit Pistons (1),4,,Orlando Magic (8),3
2003,NBA,Eastern Conf First Round,Apr 19 - May 1 2003,,New Jersey Nets (2),4,,Milwaukee Bucks (7),2
2003,NBA,Eastern Conf First Round,Apr 20 - May 2 2003,,Philadelphia 76ers (4),4,,New Orleans Hornets (5),2
2003,NBA,Western Conf First Round,Apr 19 - May 4 2003,,Dallas Mavericks (3),4,,Portland Trail Blazers (6),3
2003,NBA,Western Conf First Round,Apr 20 - May 1 2003,,Los Angeles Lakers (5),4,,Minnesota Timberwolves (4),2
